# Time-averaged data for fix ss
# TimeStep v_strain v_stress v_p2 v_p3 v_p4 v_PE v_KE
250 0.002005 0.418107 -0.016293 0.00434679 0.126141 -161489 272.671
500 0.004505 1.81215 0.0400641 0.0213056 0.546717 -161581 189.853
750 0.007005 2.89173 -0.0114379 -0.00669072 0.872423 -161591 172.558
1000 0.009505 4.20379 -0.00499257 -0.0103954 1.26826 -161552 191.436
1250 0.012005 5.59559 0.00233576 -0.0006078 1.68816 -161544 176.788
1500 0.014505 7.01449 0.0155084 0.0272928 2.11624 -161507 182.265
1750 0.017005 8.20733 -0.00189514 0.00470285 2.47611 -161465 186.001
2000 0.019505 9.38256 -0.0125483 -0.0200163 2.83068 -161432 175.499
2250 0.022005 10.734 -0.0243209 -0.0087058 3.23841 -161366 188.034
2500 0.024505 12.1164 -0.00231869 0.0151956 3.65546 -161317 179.414
2750 0.027005 13.4566 0.00936504 0.0148765 4.0598 -161250 180.104
3000 0.029505 14.7089 0.00284068 0.00895866 4.43762 -161172 186.608
3250 0.032005 15.9906 0.00784543 0.00696463 4.82428 -161104 177.204
3500 0.034505 17.2405 0.0134276 -0.00271243 5.20138 -161009 185.775
3750 0.037005 18.4741 0.00272126 0.00884568 5.57356 -160921 181.098
4000 0.039505 19.7475 0.00767311 0.0169045 5.95773 -160824 180.125
4250 0.042005 20.8496 -0.00884222 -0.0028218 6.29023 -160713 185.892
4500 0.044505 21.9138 -0.0330291 -0.018741 6.61128 -160611 178.958
4750 0.047005 23.2851 -0.00520449 0.0141598 7.02502 -160480 189.882
5000 0.049505 24.3395 -0.000424442 -0.0152496 7.34311 -160365 182.08
5250 0.052005 25.5031 -0.00448677 -0.000969296 7.69417 -160236 181.488
5500 0.054505 26.706 0.0141072 0.0144367 8.05708 -160093 186.674
5750 0.057005 27.6011 -0.00495032 -0.0169889 8.32711 -159958 181.411
6000 0.059505 28.6003 -0.0251745 -0.0078902 8.62857 -159805 186.173
6250 0.062005 29.7538 0.0110373 -0.00255751 8.97659 -159658 181.591
6500 0.064505 30.7687 0.0170335 0.00526133 9.28276 -159499 181.701
6750 0.067005 31.7761 0.0263025 0.0201805 9.5867 -159328 189.37
7000 0.069505 32.6499 0.0204812 0.0133009 9.85033 -159172 178.9
7250 0.072005 33.3774 0.0056542 -0.00626343 10.0698 -158991 186.195
7500 0.074505 34.1932 -0.00474619 -0.00693336 10.3159 -158825 176.686
7750 0.077005 34.9147 -0.0127705 -0.0121425 10.5336 -158636 183.317
